timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1659015636725,863,GET TOKEN,200,OK,Thread Group 1-4,text,true,,894693,5989,17,17,http://localhost/login,231,0,1
1659015636852,734,GET TOKEN,200,OK,Thread Group 1-6,text,true,,894704,5989,17,17,http://localhost/login,218,0,1
1659015636725,232,GET TOKEN-0,200,OK,Thread Group 1-4,text,true,,59943,325,17,17,http://localhost/login,231,0,1
1659015636963,24,GET TOKEN-1,200,OK,Thread Group 1-4,bin,true,,110571,390,17,17,http://localhost/static/favicon.ico,15,0,0
1659015636852,223,GET TOKEN-0,200,OK,Thread Group 1-6,text,true,,59941,325,17,17,http://localhost/login,218,0,1
1659015636963,402,GET TOKEN-2,200,OK,Thread Group 1-4,text,true,,85091,381,17,17,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css,335,0,305
1659015637082,12,GET TOKEN-1,200,OK,Thread Group 1-6,bin,true,,110571,390,17,17,http://localhost/static/favicon.ico,7,0,0
1659015636963,625,GET TOKEN-3,200,OK,Thread Group 1-4,text,true,,186579,770,17,17,http://localhost/dist/style.min.css,7,0,1
1659015636963,26,GET TOKEN-0,200,OK,,text,true,,182430,390,0,0,http://localhost/dist/style.min.css,7,0,1
1659015636602,994,GET TOKEN,200,OK,Thread Group 1-1,text,true,,894677,5989,17,17,http://localhost/login,152,0,14
1659015637082,281,GET TOKEN-2,200,OK,Thread Group 1-6,text,true,,85088,381,17,17,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css,237,0,188
1659015636786,811,GET TOKEN,200,OK,Thread Group 1-5,text,true,,894669,5989,17,17,http://localhost/login,223,0,1
1659015637498,90,GET TOKEN-1,200,OK,ResDownload-Thread-23,text,true,,4149,380,0,0,https://fonts.googleapis.com/css2?family=Poppins:wght@300;400;500&display=swap,90,0,67
1659015636602,153,GET TOKEN-0,200,OK,Thread Group 1-1,text,true,,59932,325,17,17,http://localhost/login,152,0,14
1659015637101,485,GET TOKEN-3,200,OK,Thread Group 1-6,text,true,,186579,770,17,17,http://localhost/dist/style.min.css,172,0,1
1659015636786,224,GET TOKEN-0,200,OK,Thread Group 1-5,text,true,,59943,325,17,17,http://localhost/login,223,0,1
1659015636963,342,GET TOKEN-4,200,OK,Thread Group 1-4,text,true,,11624,369,17,17,https://cdn.datatables.net/1.12.1/css/dataTables.bootstrap4.min.css,338,0,298
1659015636822,33,GET TOKEN-1,200,OK,Thread Group 1-1,bin,true,,110571,390,17,17,http://localhost/static/favicon.ico,20,0,0
1659015637014,23,GET TOKEN-1,200,OK,Thread Group 1-5,bin,true,,110571,390,17,17,http://localhost/static/favicon.ico,17,0,0
1659015636964,348,GET TOKEN-5,200,OK,Thread Group 1-4,text,true,,17502,374,17,17,https://cdn.jsdelivr.net/npm/select2@4.1.0-rc.0/dist/css/select2.min.css,337,0,301
1659015637101,199,GET TOKEN-0,200,OK,,text,true,,182430,390,0,0,http://localhost/dist/style.min.css,172,0,1
1659015636822,529,GET TOKEN-2,200,OK,Thread Group 1-1,text,true,,85089,381,17,17,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css,486,0,449
1659015637014,329,GET TOKEN-2,200,OK,Thread Group 1-5,text,true,,85088,381,17,17,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css,296,0,253
1659015636964,362,GET TOKEN-6,200,OK,Thread Group 1-4,text,true,,72854,350,17,17,https://code.jquery.com/jquery-3.6.0.slim.min.js,341,0,307
1659015637498,88,GET TOKEN-1,200,OK,ResDownload-Thread-35,text,true,,4149,380,0,0,https://fonts.googleapis.com/css2?family=Poppins:wght@300;400;500&display=swap,88,0,66
1659015637014,583,GET TOKEN-3,200,OK,Thread Group 1-5,text,true,,186579,770,17,17,http://localhost/dist/style.min.css,24,0,0
1659015636987,374,GET TOKEN-7,200,OK,Thread Group 1-4,text,true,,85411,378,17,17,https://cdn.jsdelivr.net/npm/bootstrap@4.5.3/dist/js/bootstrap.bundle.min.js,325,0,269
1659015637014,33,GET TOKEN-0,200,OK,,text,true,,182430,390,0,0,http://localhost/dist/style.min.css,24,0,0
1659015636823,773,GET TOKEN-3,200,OK,Thread Group 1-1,text,true,,186579,770,17,17,http://localhost/dist/style.min.css,7,0,0
1659015637082,231,GET TOKEN-4,200,OK,Thread Group 1-6,text,true,,11624,369,17,17,https://cdn.datatables.net/1.12.1/css/dataTables.bootstrap4.min.css,227,0,183
1659015636664,932,GET TOKEN,200,OK,Thread Group 1-3,text,true,,894675,5989,17,17,http://localhost/login,115,0,0
1659015637339,106,GET TOKEN-8,200,OK,Thread Group 1-4,text,true,,90630,367,17,17,https://cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js,101,0,68
1659015637498,99,GET TOKEN-1,200,OK,ResDownload-Thread-29,text,true,,4149,380,0,0,https://fonts.googleapis.com/css2?family=Poppins:wght@300;400;500&display=swap,98,0,72
1659015636823,23,GET TOKEN-0,200,OK,,text,true,,182430,390,0,0,http://localhost/dist/style.min.css,7,0,0
1659015636664,115,GET TOKEN-0,200,OK,Thread Group 1-3,text,true,,59950,325,17,17,http://localhost/login,115,0,0
